,a2_i,a2_j,a1_i,a1_j,b2_i,b2_j,b1_i,b1_j,y1,y2
75,5.0,4.0,4.0,1.0,0.0,5.0,0.0,3.0,2.0,0.0
76,5.0,3.0,5.0,1.0,1.0,5.0,0.0,2.0,2.0,0.0
77,6.0,3.0,6.0,1.0,0.0,5.0,0.0,3.0,1.0,0.0
78,6.0,4.0,6.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0
79,6.0,5.0,5.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0
80,6.0,4.0,5.0,3.0,0.0,6.0,1.0,2.0,1.0,0.0
81,6.0,4.0,5.0,2.0,0.0,6.0,1.0,3.0,1.0,0.0
82,6.0,3.0,6.0,2.0,0.0,6.0,0.0,3.0,1.0,0.0
83,6.0,3.0,6.0,2.0,0.0,6.0,1.0,3.0,1.0,0.0
84,6.0,3.0,5.0,2.0,0.0,6.0,2.0,3.0,1.0,0.0
85,6.0,3.0,5.0,2.0,1.0,6.0,2.0,4.0,3.0,0.0
86,6.0,2.0,5.0,2.0,1.0,6.0,2.0,4.0,3.0,0.0
87,5.0,2.0,5.0,3.0,1.0,6.0,2.0,3.0,2.0,0.0
88,4.0,2.0,5.0,2.0,0.0,6.0,1.0,3.0,2.0,0.0
89,4.0,2.0,5.0,2.0,0.0,6.0,2.0,3.0,2.0,0.0
90,5.0,2.0,4.0,2.0,0.0,5.0,2.0,3.0,2.0,0.0
91,5.0,3.0,4.0,1.0,0.0,5.0,3.0,3.0,2.0,0.0
92,6.0,3.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0
93,6.0,3.0,5.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0
94,6.0,3.0,6.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0
95,6.0,4.0,6.0,1.0,1.0,5.0,1.0,4.0,1.0,0.0
96,6.0,3.0,6.0,1.0,1.0,4.0,1.0,4.0,3.0,0.0
97,6.0,2.0,6.0,1.0,0.0,4.0,1.0,5.0,3.0,0.0
98,6.0,3.0,6.0,1.0,0.0,5.0,1.0,4.0,3.0,0.0
99,5.0,3.0,6.0,2.0,0.0,5.0,1.0,3.0,2.0,0.0
100,5.0,2.0,6.0,2.0,1.0,5.0,1.0,4.0,2.0,0.0
101,4.0,2.0,6.0,2.0,1.0,5.0,1.0,4.0,2.0,0.0
102,3.0,2.0,6.0,3.0,1.0,5.0,2.0,4.0,3.0,0.0
103,3.0,1.0,6.0,3.0,0.0,5.0,2.0,4.0,3.0,0.0
104,4.0,1.0,6.0,3.0,0.0,6.0,2.0,5.0,3.0,0.0
105,4.0,1.0,6.0,2.0,0.0,5.0,3.0,5.0,3.0,0.0
106,4.0,1.0,6.0,3.0,0.0,4.0,2.0,5.0,3.0,0.0
107,5.0,1.0,6.0,4.0,1.0,4.0,3.0,5.0,3.0,0.0
108,5.0,0.0,6.0,3.0,2.0,4.0,3.0,6.0,2.0,0.0
109,4.0,0.0,5.0,3.0,2.0,3.0,3.0,6.0,2.0,0.0
110,4.0,0.0,5.0,2.0,2.0,4.0,3.0,5.0,2.0,0.0
111,3.0,0.0,6.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0
112,3.0,0.0,6.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0
113,3.0,0.0,6.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0
114,3.0,1.0,6.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0
115,3.0,2.0,6.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0
116,4.0,2.0,6.0,0.0,3.0,3.0,3.0,2.0,2.0,0.0
117,4.0,2.0,6.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0
118,3.0,2.0,6.0,0.0,3.0,2.0,3.0,3.0,3.0,0.0
119,3.0,1.0,6.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0
120,4.0,1.0,6.0,1.0,3.0,4.0,2.0,3.0,2.0,0.0
121,4.0,1.0,6.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0
122,4.0,0.0,6.0,2.0,4.0,5.0,2.0,1.0,2.0,1.0
123,5.0,0.0,6.0,2.0,4.0,5.0,2.0,0.0,2.0,1.0
124,6.0,0.0,6.0,2.0,3.0,5.0,3.0,0.0,1.0,0.0
